
Categoria 'cartoleria'

Penne a sfera, 7pz
Matite HB, 12pz
Evidenziatori, 5pz
Quaderni A4, 6pz
Blocco note, 3pz
Gomma per cancellare, 4pz
Temperamatite, 2pz
Righello 30cm, 3pz
Forbici, 2pz
Colla stick, 4pz
Nastro adesivo, 3pz
Post-it, 6pz
Cartellina con elastico, 5pz
Buste trasparenti, 10pz
Raccoglitore ad anelli, 2pz
Divisori per raccoglitore, 4pz
Pennarelli colorati, 12pz
Squadra geometrica, 2pz
Compasso, 1pz
Calcolatrice, 1pz

Categoria 'casa'

Pentola, 3pz
Padella antiaderente, 2pz
Set di posate, 4pz
Bicchieri di vetro, 6pz
Tovaglia, 1pz
Strofinacci da cucina, 3pz
Tagliere in legno, 2pz
Contenitori per alimenti, 5pz
Cestino per rifiuti, 1pz
Scolapasta, 2pz
Grattugia, 1pz
Apribottiglie, 3pz
Tostapane, 1pz
Caffettiera, 1pz
Spazzolone per pavimenti, 2pz
Detergente multiuso, 3pz
Carta assorbente, 6pz
Lampadina LED, 4pz
Coperte in pile, 2pz
Cuscini decorativi, 3pz
